project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes
C4WLS - St. Francis,unknown,IMG 1278,IMG 1278,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1278.jpeg,TBD,.jpeg,2940793,unparsed,sub email/PHOTOS (1)/IMG_1278.jpeg
C4WLS - St. Francis,unknown,IMG 1279,IMG 1279,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1279.jpeg,TBD,.jpeg,2830659,unparsed,PHOTOS/IMG_1279.jpeg
C4WLS - St. Francis,unknown,IMG 1279,IMG 1279,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1279.jpeg,TBD,.jpeg,2830659,unparsed,sub email/PHOTOS (1)/IMG_1279.jpeg
C4WLS - St. Francis,unknown,IMG 1280,IMG 1280,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1280.jpeg,TBD,.jpeg,3372373,unparsed,PHOTOS/IMG_1280.jpeg
C4WLS - St. Francis,unknown,IMG 1280,IMG 1280,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1280.jpeg,TBD,.jpeg,3372373,unparsed,sub email/PHOTOS (1)/IMG_1280.jpeg
C4WLS - St. Francis,unknown,IMG 1281,IMG 1281,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1281.jpeg,TBD,.jpeg,4658043,unparsed,PHOTOS/IMG_1281.jpeg
C4WLS - St. Francis,unknown,IMG 1281,IMG 1281,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1281.jpeg,TBD,.jpeg,4658043,unparsed,sub email/PHOTOS (1)/IMG_1281.jpeg
C4WLS - St. Francis,unknown,IMG 1282,IMG 1282,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1282.jpeg,TBD,.jpeg,4375048,unparsed,PHOTOS/IMG_1282.jpeg
C4WLS - St. Francis,unknown,IMG 1282,IMG 1282,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1282.jpeg,TBD,.jpeg,4375048,unparsed,sub email/PHOTOS (1)/IMG_1282.jpeg
C4WLS - St. Francis,unknown,IMG 1283,IMG 1283,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1283.jpeg,TBD,.jpeg,5121481,unparsed,PHOTOS/IMG_1283.jpeg
C4WLS - St. Francis,unknown,IMG 1283,IMG 1283,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1283.jpeg,TBD,.jpeg,5121481,unparsed,sub email/PHOTOS (1)/IMG_1283.jpeg
C4WLS - St. Francis,unknown,IMG 1284,IMG 1284,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_1284.jpeg,TBD,.jpeg,5588904,unparsed,PHOTOS/IMG_1284.jpeg
C4WLS - St. Francis,unknown,IMG 1284,IMG 1284,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_1284.jpeg,TBD,.jpeg,5588904,unparsed,sub email/PHOTOS (1)/IMG_1284.jpeg
