project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes,pdf_proof_bucket,doc_role
Kite - Sierra Trading Lakewood,unknown,Form TEMPLATE 50% burden,Form TEMPLATE 50% burden,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/_Bid Form TEMPLATE 50% burden.xls,TBD,.xls,417280,unparsed,_Bid Form TEMPLATE 50% burden.xls,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,Form TEMPLATE 50% burden (Jonny Varriano's conflicted copy 2026 01 07),Form TEMPLATE 50% burden (Jonny Varriano's conflicted copy 2026 01 07),unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/_Bid Form TEMPLATE 50% burden (Jonny Varriano's conflicted copy 2026-01-07).xls,TBD,.xls,417280,unparsed,_Bid Form TEMPLATE 50% burden (Jonny Varriano's conflicted copy 2026-01-07).xls,UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 31 43 PM","Photo Nov 11 2025, 1 31 43 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 31 43 PM.jpg",TBD,.jpg,5273936,unparsed,"photos/Photo Nov 11 2025, 1 31 43 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 33 35 PM","Photo Nov 11 2025, 1 33 35 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 33 35 PM.jpg",TBD,.jpg,2882474,unparsed,"photos/Photo Nov 11 2025, 1 33 35 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 33 38 PM","Photo Nov 11 2025, 1 33 38 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 33 38 PM.jpg",TBD,.jpg,2720839,unparsed,"photos/Photo Nov 11 2025, 1 33 38 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 33 41 PM","Photo Nov 11 2025, 1 33 41 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 33 41 PM.jpg",TBD,.jpg,2531854,unparsed,"photos/Photo Nov 11 2025, 1 33 41 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 33 42 PM","Photo Nov 11 2025, 1 33 42 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 33 42 PM.jpg",TBD,.jpg,2697087,unparsed,"photos/Photo Nov 11 2025, 1 33 42 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 33 53 PM","Photo Nov 11 2025, 1 33 53 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 33 53 PM.jpg",TBD,.jpg,2018049,unparsed,"photos/Photo Nov 11 2025, 1 33 53 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 02 PM","Photo Nov 11 2025, 1 34 02 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 02 PM.jpg",TBD,.jpg,2562831,unparsed,"photos/Photo Nov 11 2025, 1 34 02 PM.jpg",UNKNOWN,UNKNOWN
Kite - Sierra Trading Lakewood,unknown,"Photo Nov 11 2025, 1 34 03 PM","Photo Nov 11 2025, 1 34 03 PM",unknown,other,"/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/Kite - Sierra Trading Lakewood/photos/Photo Nov 11 2025, 1 34 03 PM.jpg",TBD,.jpg,2483235,unparsed,"photos/Photo Nov 11 2025, 1 34 03 PM.jpg",UNKNOWN,UNKNOWN
